"ORDER
NUMBER","QUANTITY
ORDERED", PRICEEACH , SALES AMOUNT ,STATUS,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,COMPANY_NAME,CITY,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10322,40,100,"6,000",Shipped,11,2004,Classic Cars,S10_1949,Online Diecast Creations Co.,Nashua,USA,NA,Young,Valarie,Medium
10333,26,100,"3,003",Shipped,11,2004,Classic Cars,S10_1949,Mini Wheels Co.,San Francisco,USA,NA,Murphy,Julie,Medium
10347,30,100,"3,945",Shipped,11,2004,Classic Cars,S10_1949,"Australian Collectors, Co.",Melbourne,Australia,APAC,Ferguson,Peter,Medium
10357,32,100,"5,692",Shipped,12,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Valarie,Medium
10369,41,100,"4,515",Shipped,1,2005,Classic Cars,S10_1949,Collectables For Less Inc.,Brickhaven,USA,NA,Nelson,Allen,Medium
10381,36,100,"8,255",Shipped,2,2005,Classic Cars,S10_1949,Corporate Gift Ideas Co.,San Francisco,USA,NA,Brown,Julie,Large
10391,24,100,"2,417",Shipped,3,2005,Classic Cars,S10_1949,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Anna,Small
10411,23,100,"4,140",Shipped,5,2005,Classic Cars,S10_1949,Quebec Home Shopping Network,Montreal,Canada,NA,Fresnisre,Jean,Medium
10424,50,100,"12,001",In Process,5,2005,Classic Cars,S10_1949,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Diego,Large
10107,39,100,"3,896",Shipped,2,2003,Motorcycles,S10_2016,Land of Toys Inc.,NYC,USA,NA,Yu,Kwai,Medium
10120,29,96,"2,794",Shipped,4,2003,Motorcycles,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,APAC,Ferguson,Peter,Small
10134,27,100,"3,308",Shipped,7,2003,Motorcycles,S10_2016,Lyon Souveniers,Paris,France,EMEA,Da Cunha,Daniel,Medium
10145,37,100,"5,193",Shipped,8,2003,Motorcycles,S10_2016,Toys4GrownUps.com,Pasadena,USA,NA,Young,Julie,Medium
10159,37,100,"5,017",Shipped,10,2003,Motorcycles,S10_2016,Corporate Gift Ideas Co.,San Francisco,USA,NA,Brown,Julie,Medium
10168,27,100,"3,661",Shipped,10,2003,Motorcycles,S10_2016,Technics Stores Inc.,Burlingame,USA,NA,Hirano,Juri,Medium
10180,42,100,"4,696",Shipped,11,2003,Motorcycles,S10_2016,Daedalus Designs Imports,Lille,France,EMEA,Rance,Martine,Medium
10188,38,96,"3,661",Shipped,11,2003,Motorcycles,S10_2016,Herkku Gifts,Bergen,Norway,EMEA,Oeztan,Veysel,Medium
10201,24,100,"3,026",Shipped,12,2003,Motorcycles,S10_2016,Mini Wheels Co.,San Francisco,USA,NA,Murphy,Julie,Medium
10210,23,100,"3,009",Shipped,1,2004,Motorcycles,S10_2016,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Mory,Medium
10223,47,100,"5,422",Shipped,2,2004,Motorcycles,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,APAC,Ferguson,Peter,Medium
10236,22,100,"2,852",Shipped,4,2004,Motorcycles,S10_2016,Motor Mint Distributors Inc.,Philadelphia,USA,NA,Hernandez,Rosa,Small
10251,44,100,"5,757",Shipped,5,2004,Motorcycles,S10_2016,Tekni Collectables Inc.,Newark,USA,NA,Brown,William,Medium
10263,40,100,"4,472",Shipped,6,2004,Motorcycles,S10_2016,Gift Depot Inc.,Bridgewater,USA,NA,King,Julie,Medium
10275,22,100,"2,904",Shipped,7,2004,Motorcycles,S10_2016,La Rochelle Gifts,Nantes,France,EMEA,Labrune,Janine,Small
10285,47,100,"6,485",Shipped,8,2004,Motorcycles,S10_2016,Marta's Replicas Co.,Cambridge,USA,NA,Hernandez,Marta,Medium
10298,39,96,"3,757",Shipped,9,2004,Motorcycles,S10_2016,Atelier graphique,Nantes,France,EMEA,Schmitt,Carine,Medium
10308,34,100,"4,044",Shipped,10,2004,Motorcycles,S10_2016,Mini Classics,White Plains,USA,NA,Frick,Steve,Medium
10318,45,100,"5,567",Shipped,11,2004,Motorcycles,S10_2016,Diecast Classics Inc.,Allentown,USA,NA,Yu,Kyung,Medium
10329,20,100,"3,176",Shipped,11,2004,Motorcycles,S10_2016,Land of Toys Inc.,NYC,USA,NA,Yu,Kwai,Medium
10339,40,69,"2,757",Shipped,11,2004,Motorcycles,S10_2016,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Shimamura,Akiko,Small
10361,26,51,"1,330",Shipped,12,2004,Motorcycles,S10_2016,Souveniers And Things Co.,Chatswood,Australia,APAC,Huxley,Adrian,Small
10374,39,100,"5,288",Shipped,2,2005,Motorcycles,S10_2016,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Calaghan,Tony,Medium
10388,50,45,"2,226",Shipped,3,2005,Motorcycles,S10_2016,FunGiftIdeas.com,New Bedford,USA,NA,Benitez,Violeta,Small
10402,45,100,"5,834",Shipped,4,2005,Motorcycles,S10_2016,Auto Canal Petit,Paris,France,EMEA,Perrier,Dominique,Medium
10417,45,100,"5,887",Disputed,5,2005,Motorcycles,S10_2016,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Diego,Medium
10107,27,100,"6,066",Shipped,2,2003,Motorcycles,S10_4698,Land of Toys Inc.,NYC,USA,NA,Yu,Kwai,Medium
10120,46,100,"9,265",Shipped,4,2003,Motorcycles,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,APAC,Ferguson,Peter,Large
10134,31,100,"7,024",Shipped,7,2003,Motorcycles,S10_4698,Lyon Souveniers,Paris,France,EMEA,Da Cunha,Daniel,Large
10145,33,100,"5,176",Shipped,8,2003,Motorcycles,S10_4698,Toys4GrownUps.com,Pasadena,USA,NA,Young,Julie,Medium
10159,22,100,"4,133",Shipped,10,2003,Motorcycles,S10_4698,Corporate Gift Ideas Co.,San Francisco,USA,NA,Brown,Julie,Medium
10168,20,100,"4,183",Shipped,10,2003,Motorcycles,S10_4698,Technics Stores Inc.,Burlingame,USA,NA,Hirano,Juri,Medium
10180,41,100,"8,893",Shipped,11,2003,Motorcycles,S10_4698,Daedalus Designs Imports,Lille,France,EMEA,Rance,Martine,Large
10188,45,100,"8,715",Shipped,11,2003,Motorcycles,S10_4698,Herkku Gifts,Bergen,Norway,EMEA,Oeztan,Veysel,Large
10201,49,100,"8,066",Shipped,12,2003,Motorcycles,S10_4698,Mini Wheels Co.,San Francisco,USA,NA,Murphy,Julie,Large
10210,34,100,"6,123",Shipped,1,2004,Motorcycles,S10_4698,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Mory,Medium
10223,49,100,"9,774",Shipped,2,2004,Motorcycles,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,APAC,Ferguson,Peter,Large
10237,39,100,"7,024",Shipped,4,2004,Motorcycles,S10_4698,Vitachrome Inc.,NYC,USA,NA,Frick,Michael,Large
10251,43,100,"7,078",Shipped,5,2004,Motorcycles,S10_4698,Tekni Collectables Inc.,Newark,USA,NA,Brown,William,Large
10263,41,100,"8,337",Shipped,6,2004,Motorcycles,S10_4698,Gift Depot Inc.,Bridgewater,USA,NA,King,Julie,Large
10275,36,100,"6,902",Shipped,7,2004,Motorcycles,S10_4698,La Rochelle Gifts,Nantes,France,EMEA,Labrune,Janine,Medium
10285,27,100,"5,438",Shipped,8,2004,Motorcycles,S10_4698,Marta's Replicas Co.,Cambridge,USA,NA,Hernandez,Marta,Medium
10299,29,100,"6,683",Shipped,9,2004,Motorcycles,S10_4698,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Karttunen,Matti,Medium
10308,20,100,"4,570",Shipped,10,2004,Motorcycles,S10_4698,Mini Classics,White Plains,USA,NA,Frick,Steve,Medium
10318,37,100,"7,667",Shipped,11,2004,Motorcycles,S10_4698,Diecast Classics Inc.,Allentown,USA,NA,Yu,Kyung,Large
10329,26,100,"5,868",Shipped,11,2004,Motorcycles,S10_4698,Land of Toys Inc.,NYC,USA,NA,Yu,Kwai,Medium
10339,39,77,"2,990",Shipped,11,2004,Motorcycles,S10_4698,"Tokyo Collectables, Ltd",Minato-ku,Japan,Japan,Shimamura,Akiko,Small
10362,22,100,"3,664",Shipped,1,2005,Motorcycles,S10_4698,Technics Stores Inc.,Burlingame,USA,NA,Hirano,Juri,Medium
10374,22,100,"3,834",Shipped,2,2005,Motorcycles,S10_4698,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Calaghan,Tony,Medium
10388,21,87,"1,822",Shipped,3,2005,Motorcycles,S10_4698,FunGiftIdeas.com,New Bedford,USA,NA,Benitez,Violeta,Small
10403,66,100,"11,887",Shipped,4,2005,Motorcycles,S10_4698,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Devon,Elizabeth,Large
10417,56,100,"9,218",Disputed,5,2005,Motorcycles,S10_4698,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Diego,Large
10105,50,100,"7,208",Shipped,2,2003,Classic Cars,S10_4757,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Petersen,Jytte,Large
10119,46,100,"5,005",Shipped,4,2003,Classic Cars,S10_4757,Salzburg Collectables,Salzburg,Austria,EMEA,Pipps,Georg,Medium
10129,33,100,"4,398",Shipped,6,2003,Classic Cars,S10_4757,"Stylish Desk Decors, Co.",London,UK,EMEA,Brown,Ann,Medium
10143,49,100,"5,598",Shipped,8,2003,Classic Cars,S10_4757,Mini Creations Ltd.,New Bedford,USA,NA,Tam,Wing C,Medium
10155,32,100,"4,526",Shipped,10,2003,Classic Cars,S10_4757,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Karttunen,Matti,Medium
10167,44,100,"5,924",Cancelled,10,2003,Classic Cars,S10_4757,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Larsson,Maria,Medium
10178,24,100,"3,492",Shipped,11,2003,Classic Cars,S10_4757,Alpha Cognac,Toulouse,France,EMEA,Roulet,Annette,Medium
10186,26,100,"3,854",Shipped,11,2003,Classic Cars,S10_4757,"Double Decker Gift Stores, Ltd",London,UK,EMEA,Hardy,Thomas,Medium
10197,45,100,"5,324",Shipped,11,2003,Classic Cars,S10_4757,Enaco Distributors,Barcelona,Spain,EMEA,Saavedra,Eduardo,Medium
10209,39,100,"5,198",Shipped,1,2004,Classic Cars,S10_4757,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Chandler,Michael,Medium
10222,49,100,"5,998",Shipped,2,2004,Classic Cars,S10_4757,Collectable Mini Designs Co.,San Diego,USA,NA,Thompson,Valarie,Medium
10248,20,100,"2,910",Cancelled,5,2004,Classic Cars,S10_4757,Land of Toys Inc.,NYC,USA,NA,Yu,Kwai,Small
10261,27,100,"3,378",Shipped,6,2004,Classic Cars,S10_4757,Quebec Home Shopping Network,Montreal,Canada,NA,Fresnisre,Jean,Medium
10273,30,100,"3,509",Shipped,7,2004,Classic Cars,S10_4757,Petit Auto,Bruxelles,Belgium,EMEA,Dewey,Catherine,Medium
10283,25,100,"2,992",Shipped,8,2004,Classic Cars,S10_4757,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,NA,Lincoln,Elizabeth,Small
10295,24,100,"3,427",Shipped,9,2004,Classic Cars,S10_4757,Gifts4AllAges.com,Boston,USA,NA,Yoshido,Juri,Medium
10307,22,100,"2,693",Shipped,10,2004,Classic Cars,S10_4757,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Cervantes,Francisca,Small
10316,33,100,"4,129",Shipped,11,2004,Classic Cars,S10_4757,giftsbymail.co.uk,Cowes,UK,EMEA,Bennett,Helen,Medium
10325,47,65,"3,052",Shipped,11,2004,Classic Cars,S10_4757,Baane Mini Imports,Stavern,Norway,EMEA,Bergulfsen,Jonas,Medium
10337,25,48,"1,201",Shipped,11,2004,Classic Cars,S10_4757,Classic Legends Inc.,NYC,USA,NA,Hernandez,Maria,Small
10350,26,75,"1,962",Shipped,12,2004,Classic Cars,S10_4757,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Diego,Small
10359,48,55,"2,625",Shipped,12,2004,Classic Cars,S10_4757,Reims Collectables,Reims,France,EMEA,Henriot,Paul,Small
10373,39,100,"4,046",Shipped,1,2005,Classic Cars,S10_4757,"Oulu Toy Supplies, Inc.",Oulu,Finland,EMEA,Koskitalo,Pirkko,Medium
10384,34,100,"4,847",Shipped,2,2005,Classic Cars,S10_4757,Corporate Gift Ideas Co.,San Francisco,USA,NA,Brown,Julie,Medium
10395,32,100,"3,371",Shipped,3,2005,Classic Cars,S10_4757,Lyon Souveniers,Paris,France,EMEA,Da Cunha,Daniel,Medium
10400,64,100,"9,661",Shipped,4,2005,Classic Cars,S10_4757,The Sharp Gifts Warehouse,San Jose,USA,NA,Frick,Sue,Large
10414,19,100,"2,765",On Hold,5,2005,Classic Cars,S10_4757,Gifts4AllAges.com,Boston,USA,NA,Yoshido,Juri,Small
10103,42,100,"5,398",Shipped,1,2003,Classic Cars,S10_4962,Baane Mini Imports,Stavern,Norway,EMEA,Bergulfsen,Jonas,Medium
10114,31,100,"4,305",Shipped,4,2003,Classic Cars,S10_4962,"La Corne D'abondance, Co.",Paris,France,EMEA,Bertrand,Marie,Medium
10126,22,100,"3,348",Shipped,5,2003,Classic Cars,S10_4962,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Sommer,Mart¡n,Medium
10140,26,100,"3,188",Shipped,7,2003,Classic Cars,S10_4962,Technics Stores Inc.,Burlingame,USA,NA,Hirano,Juri,Medium
10150,20,100,"3,191",Shipped,9,2003,Classic Cars,S10_4962,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Natividad,Eric,Medium
10164,21,100,"3,537",Resolved,10,2003,Classic Cars,S10_4962,Mini Auto Werke,Graz,Austria,EMEA,Mendel,Roland,Medium
10175,33,100,"5,363",Shipped,11,2003,Classic Cars,S10_4962,"Stylish Desk Decors, Co.",London,UK,EMEA,Brown,Ann,Medium
10183,28,100,"3,433",Shipped,11,2003,Classic Cars,S10_4962,"Classic Gift Ideas, Inc",Philadelphia,USA,NA,Cervantes,Francisca,Medium
10194,26,100,"4,264",Shipped,11,2003,Classic Cars,S10_4962,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Mary,Medium
10207,31,100,"4,076",Shipped,12,2003,Classic Cars,S10_4962,Diecast Collectables,Boston,USA,NA,Franco,Valarie,Medium
10217,48,100,"7,020",Shipped,2,2004,Classic Cars,S10_4962,Handji Gifts& Co,Singapore,Singapore,APAC,Victorino,Wendy,Large
10229,50,100,"6,427",Shipped,3,2004,Classic Cars,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Valarie,Medium
10245,28,100,"4,592",Shipped,5,2004,Classic Cars,S10_4962,Super Scale Inc.,New Haven,USA,NA,Murphy,Leslie,Medium
10259,26,100,"4,033",Shipped,6,2004,Classic Cars,S10_4962,Handji Gifts& Co,Singapore,Singapore,APAC,Victorino,Wendy,Medium
10270,32,100,"4,302",Shipped,7,2004,Classic Cars,S10_4962,Souveniers And Things Co.,Chatswood,Australia,APAC,Huxley,Adrian,Medium
10281,44,100,"7,021",Shipped,8,2004,Classic Cars,S10_4962,Diecast Classics Inc.,Allentown,USA,NA,Yu,Kyung,Large
10291,30,100,"3,856",Shipped,9,2004,Classic Cars,S10_4962,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Larsson,Maria,Medium
10305,38,100,"6,681",Shipped,10,2004,Classic Cars,S10_4962,Marta's Replicas Co.,Cambridge,USA,NA,Hernandez,Marta,Medium
10313,40,100,"6,678",Shipped,10,2004,Classic Cars,S10_4962,Canadian Gift Exchange Network,Vancouver,Canada,NA,Tannamuri,Yoshi,Medium
10322,46,62,"2,852",Shipped,11,2004,Classic Cars,S10_4962,Online Diecast Creations Co.,Nashua,USA,NA,Young,Valarie,Small
10334,26,100,"3,188",On Hold,11,2004,Classic Cars,S10_4962,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Berglund,Christina,Medium
10347,27,100,"4,428",Shipped,11,2004,Classic Cars,S10_4962,"Australian Collectors, Co.",Melbourne,Australia,APAC,Ferguson,Peter,Medium
10357,43,100,"5,781",Shipped,12,2004,Classic Cars,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Valarie,Medium
10370,35,66,"2,297",Shipped,1,2005,Classic Cars,S10_4962,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Anna,Small
10381,37,100,"6,232",Shipped,2,2005,Classic Cars,S10_4962,Corporate Gift Ideas Co.,San Francisco,USA,NA,Brown,Julie,Medium
10391,37,47,"1,735",Shipped,3,2005,Classic Cars,S10_4962,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Anna,Small
10411,27,100,"4,428",Shipped,5,2005,Classic Cars,S10_4962,Quebec Home Shopping Network,Montreal,Canada,NA,Fresnisre,Jean,Medium
10425,38,100,"5,895",In Process,5,2005,Classic Cars,S10_4962,La Rochelle Gifts,Nantes,France,EMEA,Labrune,Janine,Medium
10108,33,100,"5,265",Shipped,3,2003,Classic Cars,S12_1099,Cruz & Sons Co.,Makati City,Philippines,Japan,Cruz,Arnold,Medium
10122,42,100,"7,600",Shipped,5,2003,Classic Cars,S12_1099,Marseille Mini Autos,Marseille,France,EMEA,Lebihan,Laurence,Large
10135,42,100,"8,009",Shipped,7,2003,Classic Cars,S12_1099,Mini Gifts Distributors Ltd.,San Rafael,USA,NA,Nelson,Valarie,Large
10147,48,100,"9,246",Shipped,9,2003,Classic Cars,S12_1099,Collectables For Less Inc.,Brickhaven,USA,NA,Nelson,Allen,Large
10159,41,100,"8,296",Shipped,10,2003,Classic Cars,S12_1099,Corporate Gift Ideas Co.,San Francisco,USA,NA,Brown,Julie,Large
10169,30,100,"5,020",Shipped,11,2003,Classic Cars,S12_1099,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,O'Hara,Anna,Medium
10181,27,100,"5,411",Shipped,11,2003,Classic Cars,S12_1099,Herkku Gifts,Bergen,Norway,EMEA,Oeztan,Veysel,Medium
10191,21,100,"3,841",Shipped,11,2003,Classic Cars,S12_1099,"Toms Spezialitten, Ltd",Koln,Germany,EMEA,Pfalzheim,Henriette,Medium
10203,20,100,"3,930",Shipped,12,2003,Classic Cars,S12_1099,Euro Shopping Channel,Madrid,Spain,EMEA,Freyre,Diego,Medium
10211,41,100,"7,499",Shipped,1,2004,Classic Cars,S12_1099,Auto Canal Petit,Paris,France,EMEA,Perrier,Dominique,Large
10225,27,100,"4,518",Shipped,2,2004,Classic Cars,S12_1099,"Vida Sport, Ltd",Gensve,Switzerland,EMEA,Holz,Michael,Medium
10238,28,100,"5,775",Shipped,4,2004,Classic Cars,S12_1099,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Petersen,Jytte,Medium
10253,24,100,"3,923",Cancelled,6,2004,Classic Cars,S12_1099,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Devon,Elizabeth,Medium
10266,44,100,"9,160",Shipped,7,2004,Classic Cars,S12_1099,L'ordine Souveniers,Reggio Emilia,Italy,EMEA,Moroni,Maurizio,Large
10276,50,100,"9,631",Shipped,8,2004,Classic Cars,S12_1099,Online Mini Collectables,Brickhaven,USA,NA,Barajas,Miguel,Large
10287,21,100,"3,432",Shipped,8,2004,Classic Cars,S12_1099,"Vida Sport, Ltd",Gensve,Switzerland,EMEA,Holz,Michael,Medium
10300,33,100,"5,522",Shipped,10,2003,Classic Cars,S12_1099,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Keitel,Roland,Medium
10310,33,100,"6,935",Shipped,10,2004,Classic Cars,S12_1099,"Toms Spezialitten, Ltd",Koln,Germany,EMEA,Pfalzheim,Henriette,Medium
10320,31,100,"6,876",Shipped,11,2004,Classic Cars,S12_1099,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Berglund,Christina,Medium
10329,41,71,"2,930",Shipped,11,2004,Classic Cars,S12_1099,Land of Toys Inc.,NYC,USA,NA,Yu,Kwai,Small
10341,45,80,"3,584",Shipped,11,2004,Classic Cars,S12_1099,Salzburg Collectables,Salzburg,Austria,EMEA,Pipps,Georg,Medium
10363,33,85,"2,818",Shipped,1,2005,Classic Cars,S12_1099,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Kalle,Small
10375,45,76,"3,420",Shipped,2,2005,Classic Cars,S12_1099,La Rochelle Gifts,Nantes,France,EMEA,Labrune,Janine,Medium
10389,26,99,"2,575",Shipped,3,2005,Classic Cars,S12_1099,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Larsson,Maria,Small
10419,12,100,"1,961",Shipped,5,2005,Classic Cars,S12_1099,Salzburg Collectables,Salzburg,Austria,EMEA,Pipps,Georg,Small
